Year,Period,Area,Adjusted,Preliminary,Unemployment Rate
"2017","Annual","Modoc County","Not Adj","Not Prelim","8.1"
"2017","Annual","Mono County","Not Adj","Not Prelim","4.4"
"2017","Annual","Monterey County","Not Adj","Not Prelim","7.2"
"2017","Annual","Napa County","Not Adj","Not Prelim","3.6"
"2017","Annual","Nevada County","Not Adj","Not Prelim","4.1"
"2017","Annual","Orange County","Not Adj","Not Prelim","3.5"
"2017","Annual","Placer County","Not Adj","Not Prelim","3.9"
"2017","Annual","Plumas County","Not Adj","Not Prelim","8.9"
"2017","Annual","Riverside County","Not Adj","Not Prelim","5.2"
"2017","Annual","Sacramento County","Not Adj","Not Prelim","4.7"
"2017","Annual","San Benito County","Not Adj","Not Prelim","5.8"
"2017","Annual","San Bernardino County","Not Adj","Not Prelim","4.9"
"2017","Annual","San Diego County","Not Adj","Not Prelim","4.0"
"2017","Annual","San Francisco County","Not Adj","Not Prelim","2.9"
"2017","Annual","San Joaquin County","Not Adj","Not Prelim","7.0"
"2017","Annual","San Luis Obispo County","Not Adj","Not Prelim","3.6"
"2017","Annual","San Mateo County","Not Adj","Not Prelim","2.7"
"2017","Annual","Santa Barbara County","Not Adj","Not Prelim","4.5"
"2017","Annual","Santa Clara County","Not Adj","Not Prelim","3.2"
"2017","Annual","Santa Cruz County","Not Adj","Not Prelim","5.7"
"2017","Annual","Shasta County","Not Adj","Not Prelim","5.8"
"2017","Annual","Sierra County","Not Adj","Not Prelim","6.5"
"2017","Annual","Siskiyou County","Not Adj","Not Prelim","7.2"
"2017","Annual","Solano County","Not Adj","Not Prelim","4.8"
"2017","Annual","Sonoma County","Not Adj","Not Prelim","3.4"
"2017","Annual","Stanislaus County","Not Adj","Not Prelim","7.5"
"2017","Annual","Sutter County","Not Adj","Not Prelim","8.7"
"2017","Annual","Tehama County","Not Adj","Not Prelim","6.4"
"2017","Annual","Trinity County","Not Adj","Not Prelim","6.2"
"2017","Annual","Tulare County","Not Adj","Not Prelim","10.4"
"2017","Annual","Tuolumne County","Not Adj","Not Prelim","5.4"
"2017","Annual","Ventura County","Not Adj","Not Prelim","4.5"
"2017","Annual","Yolo County","Not Adj","Not Prelim","5.1"
"2017","Annual","Yuba County","Not Adj","Not Prelim","7.4"
"2018","Annual","Alameda County","Not Adj","Not Prelim","3.0"
"2018","Annual","Alpine County","Not Adj","Not Prelim","4.6"
"2018","Annual","Amador County","Not Adj","Not Prelim","4.0"
"2018","Annual","Butte County","Not Adj","Not Prelim","4.9"
"2018","Annual","Calaveras County","Not Adj","Not Prelim","4.0"
"2018","Annual","Colusa County","Not Adj","Not Prelim","12.9"
"2018","Annual","Contra Costa County","Not Adj","Not Prelim","3.2"
"2018","Annual","Del Norte County","Not Adj","Not Prelim","5.5"
"2018","Annual","El Dorado County","Not Adj","Not Prelim","3.6"
"2018","Annual","Fresno County","Not Adj","Not Prelim","7.5"
"2018","Annual","Glenn County","Not Adj","Not Prelim","6.5"
"2018","Annual","Humboldt County","Not Adj","Not Prelim","3.6"
"2018","Annual","Imperial County","Not Adj","Not Prelim","18.1"
"2018","Annual","Inyo County","Not Adj","Not Prelim","3.9"
"2018","Annual","Kern County","Not Adj","Not Prelim","8.0"
"2018","Annual","Kings County","Not Adj","Not Prelim","7.7"
"2018","Annual","Lake County","Not Adj","Not Prelim","5.2"
"2018","Annual","Lassen County","Not Adj","Not Prelim","4.8"
"2018","Annual","Los Angeles County","Not Adj","Not Prelim","4.7"
"2018","Annual","Madera County","Not Adj","Not Prelim","7.0"
"2018","Annual","Marin County","Not Adj","Not Prelim","2.4"
"2018","Annual","Mariposa County","Not Adj","Not Prelim","5.3"
"2018","Annual","Mendocino County","Not Adj","Not Prelim","3.9"
"2018","Annual","Merced County","Not Adj","Not Prelim","8.3"
"2018","Annual","Modoc County","Not Adj","Not Prelim","7.5"
"2018","Annual","Mono County","Not Adj","Not Prelim","3.8"
"2018","Annual","Monterey County","Not Adj","Not Prelim","6.3"
"2018","Annual","Napa County","Not Adj","Not Prelim","2.9"
"2018","Annual","Nevada County","Not Adj","Not Prelim","3.5"
"2018","Annual","Orange County","Not Adj","Not Prelim","2.9"
"2018","Annual","Placer County","Not Adj","Not Prelim","3.1"
"2018","Annual","Plumas County","Not Adj","Not Prelim","7.5"
"2018","Annual","Riverside County","Not Adj","Not Prelim","4.4"
"2018","Annual","Sacramento County","Not Adj","Not Prelim","3.8"
"2018","Annual","San Benito County","Not Adj","Not Prelim","5.1"
"2018","Annual","San Bernardino County","Not Adj","Not Prelim","4.0"
"2018","Annual","San Diego County","Not Adj","Not Prelim","3.3"
"2018","Annual","San Francisco County","Not Adj","Not Prelim","2.4"
"2018","Annual","San Joaquin County","Not Adj","Not Prelim","6.0"
"2018","Annual","San Luis Obispo County","Not Adj","Not Prelim","2.9"
"2018","Annual","San Mateo County","Not Adj","Not Prelim","2.2"
"2018","Annual","Santa Barbara County","Not Adj","Not Prelim","3.9"
"2018","Annual","Santa Clara County","Not Adj","Not Prelim","2.6"
"2018","Annual","Santa Cruz County","Not Adj","Not Prelim","4.9"
"2018","Annual","Shasta County","Not Adj","Not Prelim","4.9"
"2018","Annual","Sierra County","Not Adj","Not Prelim","6.0"
"2018","Annual","Siskiyou County","Not Adj","Not Prelim","6.7"
"2018","Annual","Solano County","Not Adj","Not Prelim","3.9"
"2018","Annual","Sonoma County","Not Adj","Not Prelim","2.7"
"2018","Annual","Stanislaus County","Not Adj","Not Prelim","6.4"
"2018","Annual","Sutter County","Not Adj","Not Prelim","7.5"
"2018","Annual","Tehama County","Not Adj","Not Prelim","5.7"
"2018","Annual","Trinity County","Not Adj","Not Prelim","5.7"
"2018","Annual","Tulare County","Not Adj","Not Prelim","9.6"
"2018","Annual","Tuolumne County","Not Adj","Not Prelim","4.6"
"2018","Annual","Ventura County","Not Adj","Not Prelim","3.8"
"2018","Annual","Yolo County","Not Adj","Not Prelim","4.2"
"2018","Annual","Yuba County","Not Adj","Not Prelim","6.4"
